Style Name;Primary Color;Accent Color;Background Color;Heading Font;Body Font;Style Definition;Illustration Motif;Graphic Execution;Rationale;Theme Mode;Secondary Text Color;Card Background Color;Card Border Color;Border Radius
SailPoint Corporate Dark 2026;#ffffff;#0071ce;#000000;Poppins;Poppins;Official 2026 brand standard optimized for dark mode presentations, emphasizing deep backgrounds with high-contrast white copy and vibrant accents.;Clean, monoline tech iconography (e.g., shields, identity nodes, user profiles, key-locks) replacing proprietary product icons. Strict avoidance of complex abstract illustrations.;High-contrast dark mode layouts utilizing deep black backgrounds. White crisp 2D line-art for primary UI and graphic outlines. Vibrant aqua and hot pink used strictly as glowing accents for active states or focal points.;Shifts the default visual hierarchy to the approved dark mode palette, correcting the over-exposure of light backgrounds while maintaining strict brand compliance.;dark;#b0bec5;#121212;#2c2c2c;rounded-xl
Cloud Topology (Enterprise SaaS);#0033A1;#0071CE;#F0F3F6;Poppins;Poppins;Core enterprise identity design: clean, Poppins-based, structured cloud maps, emphasizing digital security perimeters.;Abstract floating nodes, interconnected cloud architectures, secure access gates, identity flowcharts.;Flat 2D vector illustrations, crisp geometric shapes, monochromatic cobalt palette with glowing accent blue highlights. No 3D objects.;Adapts the core identity brand into a strict 2D vector format, ideal for general software demonstrations and SaaS topologies.;light;#475569;#ffffff;#e2e8f0;rounded-xl
Institutional Vault (Banking & Finance);#0F172A;#D4AF37;#F8FAFC;Inter;Inter;Highly secure, authoritative design emphasizing trust, compliance, and impenetrable financial infrastructure.;Heavy bank vaults, interlocking gears, secure cryptographic chains, ledgers, protective shields.;Heavy solid 3D geometry, subtle metallic silver/gold gradients, clean symmetrical layouts, photorealistic security elements.;Pivots the identity theme to physical security metaphors using weighty 3D elements for financial and banking audiences.;light;#475569;#ffffff;#e2e8f0;rounded-md
Industrial Blueprint (Construction & Manufacturing);#0033A1;#EA580C;#FAFAFA;Inter;Inter;Structural, highly organized grid layouts representing complex supply chains and foundational identity builds.;Architectural scaffolding, literal building blocks, cranes lifting identity nodes, factory assembly lines.;Isometric 3D designs, sharp bento-box grid layouts, blueprint wireframe lines on stark white backgrounds, zero soft drop shadows.;Uses isometric architectural block structures to visualize identity governance as a physical, manufactured supply chain.;light;#4b5563;#f3f4f6;#d1d5db;rounded-none
Cyber Infrastructure (IT & DevOps);#e2e8f0;#22C55E;#0F0F23;JetBrains Mono;Inter;Dark mode, terminal-inspired aesthetic focusing on backend operations, code execution, and raw data flow.;Circuit boards, glowing electronics, server racks, fiber optic data streams, terminal windows.;Cybernetic monoline vectors, deep black backgrounds, glowing neon green accents, HUD (Head-Up Display) data charts.;Tailored for technical engineering and DevOps audiences by executing the brand in a glowing, dark-mode hardware aesthetic.;dark;#94a3b8;#1e1e38;#334155;rounded-md
Bio-Tech Organic (Healthcare & Pharma);#0033A1;#0D9488;#F0FDFA;Poppins;Open Sans;Clean, sterile but approachable design focusing on life sciences, compliance, and fluid organic connections.;DNA helixes, fluid network nodes, secure molecular structures, interlocking medical pill shapes.;Claymorphism (soft rounded 3D UI), smooth drop shadows, clean white layouts, avoiding sharp/aggressive angles.;Softens the technical edge into a sterile but friendly rounded 'clay' 3D style suitable for medical and biotech presentations.;light;#4b5563;#ffffff;#ccfbf1;rounded-3xl
Civic Standard (Public Sector & Gov);#1E293B;#0369A1;#F8FAFC;Lexend;Source Sans 3;High contrast, hyper-accessible, citizen-focused design that prioritizes clarity, universal standards, and human impact.;Human-centric interactions, official civic documents, diverse community networks, universal system diagrams.;Thick high-contrast 2D line strokes, stylized cartoonish illustrations of diverse humans, extensive use of patterns over color-coding.;Translates identity security into a highly accessible, flat, human-centric cartoon style for public sector compliance.;light;#334155;#ffffff;#cbd5e1;rounded-lg
Retail Velocity (E-Commerce & Logistics);#0033A1;#EC4899;#FAF5FF;Space Grotesk;DM Sans;High-energy, fast-moving design representing consumer identity, frictionless checkout, and rapid global logistics.;Conveyor belts, flowing user journeys, shopping nodes, interconnected global maps, directional arrows.;Dynamic glassmorphism, translucent overlapping glass panels, blurred mesh backgrounds, speed trails implying fast parallax motion.;Uses translucent glass and vibrant underlying mesh gradients to represent the speed and frictionless nature of retail tech.;light;#475569;#ffffff;#f3e8ff;rounded-2xl
Hardware Matrix (Electronics & IoT);#0033A1;#0891B2;#F0F3F6;Inter;Inter;Macro-focused, highly detailed interface design representing device-level identity and the Internet of Things.;Microchips, motherboards, mechanical switches, hardware pins, tactile control panels.;Crisp pixel-perfect 2D flat design, macro close-ups of mechanical UI interfaces, rigid geometric layouts, subtle inner shadows.;Zooms in on the physical hardware components, using rigid flat design to represent the structural connections of IoT devices.;light;#4b5563;#ffffff;#e2e8f0;rounded-md
Academic Clarity (Education & Research);#18181B;#0071CE;#FFFFFF;Inter;Inter;Minimalist, functional, white-space heavy design focused purely on the presentation of complex logical research.;Libraries of data, branching mind-maps, literal foundational pillars, logical flowcharts.;Strict neo-brutalist 2D, severe high-contrast shapes, distinct black outlines, vast negative space, stark architectural grids.;Strips all decorative fluff to create a highly academic, wireframe-style blueprint aesthetic for deep research presentations.;light;#3f3f46;#fafafa;#e4e4e7;rounded-none
